rank,score,parse_ok,name,total_notes,channels_with_notes,melodic_channels,drum_notes,orphan_off,stuck_notes,duplicate_on,duration_beats,issues
36,50.5,True,NISI TI.MID,11281,11,10,5053,0,0,0,448.3,"NOTE_PAIR_ERRORS:5053 | FLAT_VELOCITY:ch5,ch2,ch14 | PERCUSSION_CLUTTER"
37,50.5,True,NISI TI (1).MID,11281,11,10,5053,0,0,0,448.3,"NOTE_PAIR_ERRORS:5053 | FLAT_VELOCITY:ch5,ch2,ch14 | PERCUSSION_CLUTTER"
38,50.53,True,BAS MI SE SVIDZA TVOJA DEVOJKA.mid,14696,15,14,8094,3352,0,2,600.95,NOTE_PAIR_ERRORS:3352 | FLAT_VELOCITY:ch15 | EXTREME_MELODIC_REGISTER:ch8 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
39,51.35,True,KO DA SUTRA NEPOS.MID,19080,7,6,6529,0,0,0,355.48,"NOTE_PAIR_ERRORS:2 | MICRO_GATE:ch2=0.53 | FLAT_VELOCITY:ch1,ch4 | VERY_HIGH_NOTE_DENSITY:ch2 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
40,51.5,True,Dali me vara sa tobom.mid,22116,15,14,8541,0,0,0,408.0,"EXCESSIVE_LONG_GATES_CH13 | EXCESSIVE_LONG_GATES_CH14 | FLAT_VELOCITY:ch2,ch6,ch7 | EXTREME_MELODIC_REGISTER:ch2 | VERY_HIGH_NOTE_DENSITY:ch3,ch5 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
41,52.0,True,DA LI SI DOBRO SPA.mid,6338,14,13,2963,4288,0,20,468.0,"NOTE_PAIR_ERRORS:4297 | FLAT_VELOCITY:ch1,ch6 | PERCUSSION_CLUTTER"
42,52.29,True,Midi (1)/Narodne/ne ne vjeruj.KAR,2351,8,7,452,0,0,2,324.02,NOTE_PAIR_ERRORS:427 | DRUM_VERY_LOW_ELEMENT_DIVERSITY | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
43,52.29,True,ne ne vjeruj.KAR,2351,8,7,452,0,0,2,324.02,NOTE_PAIR_ERRORS:427 | DRUM_VERY_LOW_ELEMENT_DIVERSITY | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER
44,52.34,True,Midi (1)/Narodne/STO POSTO Hakala.kar,11647,13,12,3973,2688,0,22,332.5,"NOTE_PAIR_ERRORS:2688 | FLAT_VELOCITY:ch7,ch8,ch15 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
45,52.34,True,STO POSTO Hakala.kar,11647,13,12,3973,2688,0,22,332.5,"NOTE_PAIR_ERRORS:2688 | FLAT_VELOCITY:ch7,ch8,ch15 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
46,52.5,True,Midi (1)/Muske/Lola.kar,5640,6,5,2683,0,0,6,528.0,"NOTE_PAIR_ERRORS:2453 | MANY_EMPTY_TRACKS | FLAT_VELOCITY:ch6,ch7,ch11"
47,52.58,True,Midi (1)/Narodne/VOLET CU DE DO SMRTI.mid,8800,6,5,6068,0,0,0,449.25,"NOTE_PAIR_ERRORS:6068 | EXCESSIVE_LONG_GATES_CH5 | FLAT_VELOCITY:ch5,ch3,ch4,ch1"
48,52.58,True,VOLET CU DE DO SMRTI.mid,8800,6,5,6068,0,0,0,449.25,"NOTE_PAIR_ERRORS:6068 | EXCESSIVE_LONG_GATES_CH5 | FLAT_VELOCITY:ch5,ch3,ch4,ch1"
49,53.0,True,NEODOLJIVO.mid,22656,8,7,9407,0,0,20,437.0,"MICRO_GATE:ch3=0.62 | FLAT_VELOCITY:ch6,ch7,ch11,ch1,ch9 | VERY_HIGH_NOTE_DENSITY:ch2,ch3 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
50,53.01,True,Midi (1)/zenske/KRIVA.KAR,17521,7,6,3715,0,0,0,460.75,"NOTE_PAIR_ERRORS:1990 | MICRO_GATE:ch2=0.40 | FLAT_VELOCITY:ch3,ch6 | VERY_HIGH_NOTE_DENSITY:ch5,ch2 | PERCUSSION_CLUTTER"
51,53.2,True,Midi (1)/Narodne/HOCU NECU.MID,9437,8,7,4007,0,0,0,647.51,"NOTE_PAIR_ERRORS:2063 | FLAT_VELOCITY:ch2,ch9,ch3 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
52,53.2,True,HOCU NECU.MID,9437,8,7,4007,0,0,0,647.51,"NOTE_PAIR_ERRORS:2063 | FLAT_VELOCITY:ch2,ch9,ch3 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
53,53.73,True,Midi (1)/Narodne/RESKIRAJ sasa matic.KAR,8023,14,13,2006,2552,0,10,228.25,"NOTE_PAIR_ERRORS:2552 | FLAT_VELOCITY:ch1,ch4,ch7,ch8,ch11,ch12 | PERCUSSION_CLUTTER"
54,53.73,True,RESKIRAJ sasa matic.KAR,8023,14,13,2006,2552,0,10,228.25,"NOTE_PAIR_ERRORS:2552 | FLAT_VELOCITY:ch1,ch4,ch7,ch8,ch11,ch12 | PERCUSSION_CLUTTER"
55,53.92,True,Midi (1)/Narodne/Poznao bih temedju hiljaduzena.kar,7925,6,5,2015,0,0,0,712.49,"NOTE_PAIR_ERRORS:553 | MICRO_GATE:ch4=0.36 | FLAT_VELOCITY:ch1,ch5 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
56,53.92,True,Poznao bih temedju hiljaduzena.kar,7925,6,5,2015,0,0,0,712.49,"NOTE_PAIR_ERRORS:553 | MICRO_GATE:ch4=0.36 | FLAT_VELOCITY:ch1,ch5 | DRUM_CORE_WEAK_OR_NONSTANDARD | PERCUSSION_CLUTTER"
57,54.03,True,Midi (1)/Narodne/NEPOPRAVLJIVO.KAR,19210,12,11,6472,0,0,472,461.49,"NOTE_PAIR_ERRORS:960 | OVERLAPPING_SAME_NOTE:472 | MICRO_GATE:ch6=0.61 | FLAT_VELOCITY:ch16,ch15 | VERY_HIGH_NOTE_DENSITY:ch2 | PERCUSSION_CLUTTER"
